marque,modele,kilometrage,carburant,transmission,puissance,nb_ancien_proprietaire,classe_vehicule,couleur,sellerie,emission_CO2,crit_air,usage_commerciale_anterieure,annee,prix_neuf,Mise_en_circulation
BMW,BMW SÉRIE 2,89738.0,Diesel,Boite de vitesse manuelle,116,3,Monospace,Bleu,Cuir ,112.0,Crit'Air 2,Oui,2018,41683.333333333336,09/10/2018
AUDI,AUDI A1,25455.0,Essence,Boite de vitesse manuelle,110,Inconnu,Citadine,Noir,Tissu ,124.0,Crit'Air 1,Non,2023,30287.5,09/06/2023
PEUGEOT,PEUGEOT 2008,68607.0,Essence,Boite de vitesse automatique,110,1,SUV,Blanc,Mi-cuir ,114.0,Crit'Air 1,Non,2019,25900.0,09/03/2019
RENAULT,RENAULT MÉGANE,35952.0,Essence,Boite de vitesse automatique,132,1,Berline,Gris,Mi-cuir ,124.0,Crit'Air 1,Non,2017,29600.0,09/12/2017
PEUGEOT,PEUGEOT 208,20999.0,Essence,Boite de vitesse automatique,100,3,Citadine,Gris,Mi-cuir ,121.0,Crit'Air 1,Non,2023,26620.0,09/07/2023
CITROEN,CITROEN C3,44805.0,Essence,Boite de vitesse manuelle,82,Inconnu,Citadine,Blanc,Tissu ,96.0,Crit'Air 1,Non,2019,16508.333333333332,09/06/2019
CITROEN,CITROEN C4,52861.0,Essence,Boite de vitesse automatique,155,2,Berline,Noir,Cuir ,141.0,Crit'Air 1,Unknown,2022,32850.0,09/07/2022
PEUGEOT,PEUGEOT 2008,25247.0,Essence,Boite de vitesse manuelle,110,2,SUV,Gris,Mi-cuir ,103.0,Crit'Air 1,Non,2017,24400.0,09/06/2017
RENAULT,RENAULT TALISMAN,89058.0,Diesel,Boite de vitesse automatique,200,2,Berline,Gris,Cuir ,157.0,Crit'Air 2,Non,2020,48700.0,09/08/2020
FORD,FORD RANGER,48541.0,Diesel,Boite de vitesse automatique,213,2,Pickup,Bleu,Cuir ,236.33333333333334,Crit'Air 2,Unknown,2022,47831.0,09/06/2022
VOLKSWAGEN,VOLKSWAGEN GOLF VII,73416.0,Essence,Boite de vitesse automatique,150,2,Berline,Blanc,Tissu ,122.4,Crit'Air 1,Unknown,2019,35086.0,09/06/2019
VOLKSWAGEN,VOLKSWAGEN T-CROSS,7043.0,Essence,Boite de vitesse automatique,115,1,SUV,Blanc,Tissu ,133.0,Crit'Air 1,Non,2024,29820.0,09/08/2024
RENAULT,RENAULT CLIO,58474.0,Essence,Boite de vitesse manuelle,100,2,Citadine,Gris,Tissu ,100.0,Crit'Air 1,Non,2019,18800.0,09/12/2019
RENAULT,RENAULT MÉGANE,49112.0,Diesel,Boite de vitesse automatique,115,2,Berline,Gris,Tissu ,122.0,Crit'Air 2,Non,2021,31366.666666666668,09/03/2021
RENAULT,RENAULT CLIO,1816.0,Essence,Boite de vitesse manuelle,72,2,Citadine,Gris,Tissu ,122.0,Crit'Air 1,Non,2020,18340.0,09/06/2020
VOLKSWAGEN,VOLKSWAGEN GOLF VII,49161.0,Essence,Boite de vitesse manuelle,115,2,Berline,Gris,Tissu ,107.0,Crit'Air 1,Oui,2019,25480.0,09/05/2019
MERCEDES,MERCEDES-BENZ CLASSE A,95768.0,Essence,Boite de vitesse manuelle,109,3,Berline,Blanc,Mi-cuir ,135.0,Crit'Air 1,Unknown,2020,29600.0,09/11/2020
KIA,KIA SPORTAGE,48234.0,Diesel,Boite de vitesse manuelle,136,2,SUV,Gris,Tissu ,141.0,Crit'Air 2,Non,2020,32315.0,09/10/2020
RENAULT,RENAULT CAPTUR,58808.0,Hybride,Boite de vitesse automatique,145,2,SUV,Blanc,Tissu ,109.0,Crit'Air 1,Oui,2022,31800.0,09/09/2022
HYUNDAI,HYUNDAI TUCSON,95919.0,Diesel,Boite de vitesse automatique,136,1,SUV,Marron,Cuir ,143.0,Crit'Air 2,Non,2022,46650.0,09/06/2022
RENAULT,RENAULT TWINGO,59988.0,Essence,Boite de vitesse automatique,90,2,Citadine,Rouge,Mi-cuir ,108.0,Crit'Air 1,Non,2017,16700.0,09/05/2017
DACIA,DACIA SANDERO,29408.0,Essence,Boite de vitesse manuelle,100,2,Citadine,Bleu,Tissu ,135.0,Crit'Air 1,Non,2020,13390.0,09/07/2020
TOYOTA,TOYOTA COROLLA,30454.0,Hybride,Boite de vitesse automatique,184,1,Break,Bleu,Mi-cuir ,121.0,Crit'Air 1,Non,2022,38833.333333333336,09/05/2022
CITROEN,CITROEN C3 AIRCROSS,95440.0,Essence,Boite de vitesse automatique,110,1,SUV,Blanc,Tissu ,126.0,Crit'Air 1,Non,2018,23675.0,09/03/2018
BMW,BMW SÉRIE 3,75964.0,Hybride,Boite de vitesse automatique,252,2,Berline,Gris,Tissu ,45.0,Crit'Air 1,Non,2018,52025.0,09/08/2018
TOYOTA,TOYOTA AYGO X,1592.0,Essence,Boite de vitesse automatique,72,1,Citadine,Blanc,Tissu ,111.0,Crit'Air 1,Non,2024,19900.0,09/01/2024
CITROEN,CITROEN C3,81738.0,Essence,Boite de vitesse manuelle,82,2,Citadine,Blanc,Tissu ,109.0,Crit'Air 1,Oui,2018,18850.0,09/05/2018
BMW,BMW X2,78142.0,Diesel,Boite de vitesse manuelle,116,2,SUV,Gris,Tissu ,115.0,Crit'Air 2,Non,2019,40821.42857142857,09/04/2019
